Date,Open,High,Low,Close,Adj Close,Volume
3/27/2018,580,580.650024,575.049988,577,495.101624,3802088
3/28/2018,575.375,575.375,563.125,565.900024,485.577026,12558322
4/2/2018,570.5,574.775024,560.650024,568.575012,487.872467,8072702
4/3/2018,567.349976,571.775024,564.049988,570.224976,489.288208,4077168
4/4/2018,572,572.275024,560,562.099976,482.316437,4813302
4/5/2018,569.775024,575.650024,564.549988,573.775024,492.33432,7763544
4/6/2018,571.5,573,561.049988,563.5,483.517792,5937742
4/9/2018,562.5,562.900024,553.275024,555.625,476.76059,7202882
4/10/2018,556,562.25,552.700012,556.700012,477.682953,8926058
4/11/2018,559,565.75,558.25,562.125,482.337952,9025574
4/12/2018,564.724976,586.375,562.5,581.299988,498.79126,17044366
4/13/2018,587,592.950012,575.125,585.724976,502.588196,21227038
4/16/2018,551,570,551,566.599976,486.177795,24745084
4/17/2018,563.5,563.700012,557.5,562.599976,482.745422,10397940
4/18/2018,561.424988,567.375,556.924988,562.974976,483.0672,10430380
4/19/2018,562,569.900024,561.549988,566.424988,486.027588,8525542
4/20/2018,569.5,596.849976,568.474976,589.224976,505.59137,24272692
4/23/2018,584,607.200012,577.625,593.849976,509.559937,21830638
4/24/2018,592.5,598.200012,575.049988,577.25,495.316101,8526216
4/25/2018,576,585.5,572.599976,580.174988,497.825897,11594178
4/26/2018,587,590.825012,580,588.224976,504.733276,11302084
4/27/2018,590,595.799988,587.099976,592.599976,508.487305,7663370
4/30/2018,590.849976,603.974976,590.325012,599.75,514.622498,5511678
5/2/2018,599.450012,600.799988,590.5,598.525024,513.571411,10295042
5/3/2018,598.625,602.349976,588.049988,591.275024,507.350403,5332230
5/4/2018,592.5,593,577.5,586.549988,503.29599,6023368
5/7/2018,590.625,595,587.75,591.5,507.543488,4638960
5/8/2018,588.950012,588.950012,580.525024,582.775024,500.056946,5718556
5/9/2018,583.75,588.450012,581.5,585.349976,502.266418,3783504
5/10/2018,588,591.5,581.424988,584,501.108002,3182862
5/11/2018,586.150024,591.599976,583.025024,590.375,506.578156,3311706
5/14/2018,592.174988,595.75,585,594.650024,510.246429,4432094
5/15/2018,594.049988,604,594.049988,597.275024,512.498657,5611974
5/16/2018,593.625,599,592.25,594.974976,510.525208,6205004
5/17/2018,598,598.724976,586.775024,591.450012,507.500549,9519598
5/18/2018,591.5,593.275024,586.5,591.599976,507.629303,7139660
5/21/2018,589.775024,594.200012,585,589.75,506.041962,8475320
5/22/2018,587.5,599,586.950012,596.924988,512.198425,5636804
5/23/2018,597.5,603.825012,590.75,592.450012,508.358673,9538442
5/24/2018,599,613.775024,599,610.5,523.846497,9740570
5/25/2018,615.049988,624.325012,610.400024,614.150024,526.978577,8901438
5/28/2018,615.5,616.299988,603,607.200012,521.015015,5739794
5/29/2018,607.025024,613.275024,603.099976,608.349976,522.001953,3388934
5/30/2018,608.5,614.375,602.799988,605.849976,519.856628,6323066
5/31/2018,605.849976,621,605.125,615.900024,528.480286,19720340
